SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510460,ITIQUIRA,13.727,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510480,JACIARA,27.696,,
MT,5.105,MACRORREGIAO CENTRO-NORTE,51.002,BAIXADA CUIABANA,510490,JANGADA,8.420,,
MT,5.102,MACRORREGIAO OESTE,51.012,SUDOESTE MATOGROSSENSE,510500,JAURU,8.377,,
MT,5.103,MACRORREGIAO NORTE ,51.016,VALE DOS ARINOS,510510,JUARA,35.275,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510515,JUINA,41.190,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510517,JURUENA,16.811,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510520,JUSCIMEIRA,11.124,,
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510523,LAMBARI D'OESTE,6.246,,
MT,5.103,MACRORREGIAO NORTE ,51.014,TELES PIRES,510525,LUCAS DO RIO VERDE,69.671,,
MT,5.104,MACRORREGIAO LESTE,51.009,NORTE ARAGUAIA KARAJA,510530,LUCIARA,2.036,,
MT,5.103,MACRORREGIAO NORTE ,51.010,NORTE MATOGROSSENSE,510558,MARCELANDIA,10.107,,
MT,5.103,MACRORREGIAO NORTE ,51.015,VALE DO PEIXOTO,510560,MATUPA,17.017,,
