SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251130,PIANCO,16.147,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.004,4ª REGIAO,251140,PICUI,18.737,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.012,12ª REGIAO,251150,PILAR,12.036,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251160,PILOES,6.518,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251170,PILOEZINHOS,4.937,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251180,PIRPIRITUBA,10.590,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.001,1ª REGIAO MATA ATLANTICA,251190,PITIMBU,19.478,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251200,POCINHOS,18.848,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251203,POCO DANTAS,3.877,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251207,POCO DE JOSE DE MOURA,4.366,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.013,13ª REGIAO,251210,POMBAL,32.803,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251220,PRATA,4.265,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.011,11ª REGIAO,251230,PRINCESA ISABEL,23.749,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251240,PUXINANA,13.801,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.015,15ª REGIAO,251250,QUEIMADAS,44.388,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251260,QUIXABA,2.009,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.003,3ª REGIAO,251270,REMIGIO,19.973,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.002,2ª REGIAO,251274,RIACHAO,3.650,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.012,12ª REGIAO,251275,RIACHAO DO BACAMARTE,4.562,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.001,1ª REGIAO MATA ATLANTICA,251276,RIACHAO DO POCO,4.571,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.015,15ª REGIAO,251278,RIACHO DE SANTO ANTONIO,1.999,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.008,8ª REGIAO,251280,RIACHO DOS CAVALOS,8.555,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.014,14ª REGIAO,251290,RIO TINTO,24.258,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251300,SALGADINHO,3.975,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.012,12ª REGIAO,251310,SALGADO DE SAO FELIX,12.123,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.015,15ª REGIAO,251315,SANTA CECILIA,6.526,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.010,10ª REGIAO,251320,SANTA CRUZ,6.579,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251330,SANTA HELENA,5.853,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251335,SANTA INES,3.591,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251340,SANTA LUZIA,15.470,,
PB,2.503,MACRORREGIAO I - JOAO PESSOA,25.001,1ª REGIAO MATA ATLANTICA,251370,SANTA RITA,138.093,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251380,SANTA TERESINHA,4.550,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251350,SANTANA DE MANGUEIRA,5.098,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251360,SANTANA DOS GARROTES,6.942,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.016,16ª REGIAO,251385,SANTO ANDRE,2.496,,
